UserID,How is the overall quality?,How is the visual quality?,Are the object moved as you expect?,How is the immersive level?,Will you continue exploring the scene under the current system quality and immersive level?
0,3,3,3,3,y
1,2,3,3,2,n
2,4,4,4,4,y
3,4,5,3,4,y
4,3,3,2,4,y
5,4,4,5,4,y
6,4,5,2,3,n
7,3,3,1,3,n
8,5,4,5,4,y
9,3,3,1,3,n
10,3,3,5,2,n
13,4,4,4,5,y
14,4,4,3,4,y
16,3,4,3,3,y
18,3,3,3,3,n
19,3,4,4,3,n
20,4,4,5,5,y
21,4,4,5,4,n
22,3,3,3,3,y
26,3,3,4,4,n
27,3,4,4,3,n
28,2,2,4,2,n
29,4,2,5,3,n
30,3,3,2,2,y